t	x	vx
1,126125E0	-6,575456E-1 0
1,167833E0	-7,796433E-1 -2,927281E0
1,209542E0	-9,017296E-1 -2,925927E0
1,251250E0	-1,023714E0	-2,857350E0
1,292958E0	-1,140080E0	-2,758937E0
1,334667E0	-1,253856E0	-2,657063E0
1,376375E0	-1,361724E0	-2,582848E0
1,418083E0	-1,469308E0	-2,451561E0
1,459792E0	-1,566225E0	-2,315006E0
1,501500E0	-1,662418E0	-2,271650E0
1,543208E0	-1,755718E0	-2,176422E0
1,584917E0	-1,843968E0	-2,117021E0
1,626625E0	-1,932313E0	-2,042313E0
1,668333E0	-2,014331E0	-1,973661E0
1,710042E0	-2,096949E0	-1,872260E0
1,751750E0	-2,170509E0	-1,805025E0
1,793458E0	-2,247518E0	-1,806424E0
1,835167E0	-2,321195E0	-1,763277E0
1,876875E0	-2,394605E0	-1,700772E0
1,918583E0	-2,463067E0	-1,672118E0
1,960292E0	-2,534087E0	-1,599868E0
2,002000E0	-2,596523E0	-1,499380E0
2,043708E0	-2,659161E0	-1,465510E0
2,085417E0	-2,718771E0	-1,496715E0
2,127125E0	-2,784012E0	-1,457838E0
2,168833E0	-2,840379E0	-1,356587E0
2,210542E0	-2,897174E0	-1,327191E0
2,252250E0	-2,951089E0	-1,263809E0
2,293958E0	-3,002596E0	-1,197532E0
2,335667E0	-3,050983E0	-1,156906E0
2,377375E0	-3,099102E0	-1,116202E0
2,419083E0	-3,144093E0	-1,022450E0
2,460792E0	-3,184391E0	-8,884900E-1
2,502500E0	-3,218208E0	-8,173544E-1
2,544208E0	-3,252572E0	-7,834351E-1
2,585917E0	-3,283559E0	-7,149920E-1
2,627625E0	-3,312214E0	-6,809715E-1
2,669333E0	-3,340364E0	-6,364835E-1
2,711042E0	-3,365307E0	-5,739707E-1
2,752750E0	-3,388242E0	-5,495196E-1
2,794458E0	-3,411147E0	-4,826546E-1
2,836167E0	-3,428504E0	-4,668398E-1
2,877875E0	-3,450089E0	-4,730765E-1
2,919583E0	-3,467966E0	-4,214026E-1
2,961292E0	-3,485241E0	-3,697044E-1
3,003000E0	-3,498806E0	-3,044357E-1
3,044708E0	-3,510636E0	-3,119679E-1
3,086417E0	-3,524829E0	-3,002785E-1
3,128125E0	-3,535684E0	-2,369353E-1
3,169833E0	-3,544594E0	-1,740515E-1
3,211542E0	-3,550203E0	-1,079166E-1
3,253250E0	-3,553596E0	2,031735E-1
3,294958E0	-3,533255E0	1,412380E-1
3,336667E0	-3,541814E0	-1,702555E-1
3,378375E0	-3,547457E0	-1,019320E-1
3,420083E0	-3,550317E0	6,795065E-2
3,461792E0	-3,541789E0	2,475951E-4
3,503500E0	-3,550296E0	-6,831439E-2
3,545208E0	-3,547487E0	1,021922E-1
3,586917E0	-3,541772E0	3,386617E-2
